respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,age_group,education,income_poverty,sex
1,2,1,1,1,4,5,35 - 44 Years,12 Years,Middle,Male
2,3,2,0,0,2,1,45 - 54 Years,<12 Years,Below Poverty,Male
3,0,0,0,0,2,2,35 - 44 Years,12 Years,Middle,Female
4,2,0,0,1,5,5,35 - 44 Years,12 Years,Below Poverty,Male
5,2,0,1,0,3,5,18 - 34 Years,College Graduate,Middle,Female
6,3,0,1,1,5,4,35 - 44 Years,<12 Years,Below Poverty,Female
7,0,0,0,1,4,3,55 - 64 Years,College Graduate,Above Poverty,Male
8,0,0,1,0,5,3,35 - 44 Years,Some College,Middle,Male
9,2,0,1,1,1,4,45 - 54 Years,Some College,Below Poverty,Female
10,1,1,0,1,4,4,45 - 54 Years,Some College,Middle,Female
11,2,2,0,1,2,4,65+ Years,12 Years,Middle,Male
12,2,0,1,1,3,3,45 - 54 Years,12 Years,Middle,Male
13,2,1,0,0,4,4,35 - 44 Years,12 Years,Below Poverty,Male
14,2,1,1,0,4,1,45 - 54 Years,<12 Years,Above Poverty,Male
15,3,2,1,1,1,5,18 - 34 Years,College Graduate,Above Poverty,Male
16,0,0,1,0,3,5,45 - 54 Years,12 Years,Above Poverty,Female
17,3,2,1,1,2,2,55 - 64 Years,College Graduate,Below Poverty,Male
18,3,0,0,1,4,2,18 - 34 Years,College Graduate,Above Poverty,Male
19,3,1,0,1,4,5,65+ Years,College Graduate,Below Poverty,Female
20,2,1,0,1,1,1,55 - 64 Years,<12 Years,Middle,Male
21,1,1,0,1,5,3,35 - 44 Years,<12 Years,Middle,Male
22,0,1,1,0,2,3,35 - 44 Years,Some College,Above Poverty,Female
23,1,2,1,1,3,1,35 - 44 Years,Some College,Below Poverty,Male
24,3,0,0,0,4,3,55 - 64 Years,College Graduate,Middle,Female
25,3,0,1,0,4,4,55 - 64 Years,Some College,Below Poverty,Male
26,1,2,1,1,2,5,55 - 64 Years,College Graduate,Below Poverty,Male
27,1,0,1,1,5,5,18 - 34 Years,<12 Years,Middle,Male
28,1,1,0,1,4,1,18 - 34 Years,<12 Years,Below Poverty,Female
29,3,0,0,1,2,3,35 - 44 Years,<12 Years,Middle,Female
30,3,1,0,1,1,2,45 - 54 Years,12 Years,Middle,Female
31,0,2,1,0,5,2,35 - 44 Years,College Graduate,Middle,Female
32,0,0,0,1,3,3,65+ Years,<12 Years,Below Poverty,Male
33,3,2,0,1,4,2,18 - 34 Years,College Graduate,Middle,Female
34,1,0,0,0,2,1,55 - 64 Years,Some College,Below Poverty,Female
35,1,1,0,0,1,1,18 - 34 Years,Some College,Middle,Female
36,0,2,0,1,3,3,55 - 64 Years,<12 Years,Middle,Male
37,3,0,0,0,2,2,65+ Years,College Graduate,Above Poverty,Male
38,0,1,1,1,2,1,65+ Years,<12 Years,Above Poverty,Female
39,0,2,1,0,3,1,18 - 34 Years,Some College,Above Poverty,Female
40,2,2,0,0,1,4,55 - 64 Years,<12 Years,Below Poverty,Male
41,2,0,0,1,1,4,65+ Years,College Graduate,Below Poverty,Female
42,2,0,1,0,5,1,35 - 44 Years,Some College,Middle,Female
43,1,0,1,0,4,3,35 - 44 Years,12 Years,Middle,Female
44,3,1,0,0,3,5,55 - 64 Years,Some College,Middle,Female
45,3,0,0,0,3,5,18 - 34 Years,12 Years,Middle,Male
46,3,2,0,0,3,1,65+ Years,<12 Years,Below Poverty,Male
47,3,2,0,0,1,1,18 - 34 Years,<12 Years,Middle,Male
48,2,0,1,1,4,1,35 - 44 Years,College Graduate,Middle,Female
