respondent_id,h1n1_vaccine,seasonal_vaccine
1,1,1
2,1,0
3,0,1
4,0,1
5,1,1
6,1,0
7,1,1
8,0,1
9,0,0
10,0,0
11,1,1
12,0,0
13,1,0
14,1,1
15,0,1
16,1,1
17,0,0
18,1,0
19,1,0
20,0,1
21,1,0
22,1,0
23,1,1
24,1,1
25,1,1
26,1,0
27,1,1
28,1,0
29,0,0
30,0,1
31,1,1
32,1,1
33,0,1
34,1,1
35,0,0
36,0,0
37,0,0
38,1,1
39,1,0
40,1,1
41,0,1
42,0,0
43,0,0
44,1,1
45,0,0
46,0,1
47,1,0
48,0,0
49,0,0
50,1,0
51,1,0
52,0,1
53,1,0
54,0,0
55,1,0
56,0,1
57,1,1
58,0,1
59,1,1
60,1,1
61,1,0
62,1,0
63,1,0
64,1,1
65,1,1
66,0,0
67,0,1
68,1,1
69,1,1
70,0,0
71,0,0
72,1,1
73,0,1
74,0,1
75,1,1
76,1,0
77,1,1
78,0,0
79,1,0
80,1,0
81,0,1
82,1,0
83,0,0
84,0,1
85,0,1
86,0,1
87,0,0
88,0,1
89,1,0
90,1,0
91,1,1
92,0,0
93,1,0
94,0,0
95,1,0
96,0,1
97,1,0
98,0,1
99,1,0
100,0,0
101,1,1
102,0,0
103,1,0
104,1,0
105,1,0
106,0,0
107,0,0
108,0,1
109,0,1
110,0,1
111,1,0
112,0,0
113,1,0
114,1,1
115,0,0
116,1,1
117,0,0
118,0,0
119,0,0
120,1,1
121,0,0
122,0,1
123,0,0
124,1,0
125,0,1
126,1,0
127,1,0
128,0,0
129,1,0
130,1,1
131,0,1
132,0,0
133,0,0
134,1,1
135,0,0
136,1,1
137,1,0
138,1,1
139,1,1
140,1,1
141,0,1
142,0,0
143,1,0
144,1,1
145,0,1
146,0,1
147,1,1
148,1,0
149,0,1
150,0,1
151,1,1
152,0,1
153,0,1
154,1,1
155,1,1
156,1,0
157,0,1
158,1,1
159,0,1
160,1,0
161,1,0
162,0,0
163,0,1
164,1,1
165,1,1
166,0,0
167,1,1
168,0,0
169,0,0
170,1,0
171,0,0
172,0,0
173,0,1
174,1,1
175,0,0
176,1,1
177,1,1
178,1,0
179,0,0
180,0,1
181,1,1
182,1,1
183,0,1
184,1,0
185,1,1
186,0,0
187,1,0
188,0,1
189,0,1
190,1,1
191,0,0
192,0,0
193,0,0
194,1,0
195,1,1
196,1,0
197,0,0
198,0,1
199,1,0
200,1,0
201,0,1
202,1,0
203,1,0
204,1,0
205,1,0
206,1,1
207,0,0
208,1,1
209,1,0
210,0,1
211,0,1
212,0,1
213,0,0
214,1,0
215,1,0
216,1,1
217,1,0
218,0,0
219,0,0
220,1,0
221,1,1
222,1,1
223,1,0
224,0,0
225,1,0
226,0,1
227,0,0
228,0,1
229,0,1
230,1,0
231,1,0
232,1,0
233,1,1
234,0,1
235,0,0
236,0,1
237,1,0
238,0,0
239,0,1
240,0,1
241,0,1
242,1,1
243,0,0
244,0,0
245,1,0
246,1,1
247,1,0
248,0,1
249,0,1
250,0,1
251,0,0
252,1,1
253,0,1
254,0,1
255,1,1
256,1,1
257,1,1
258,0,1
259,0,1
260,0,1
261,0,1
262,0,1
263,1,1
264,1,0
265,0,0
266,0,1
267,0,1
268,0,1
269,0,0
270,1,0
271,1,0
272,1,1
273,0,1
274,0,1
275,1,1
276,1,0
277,0,1
278,1,0
279,1,0
280,0,1
281,1,0
282,1,0
283,1,0
284,0,0
285,1,1
286,1,1
287,1,0
288,0,1
289,0,0
290,1,1
291,0,1
292,1,1
293,0,1
294,0,1
295,1,0
296,1,1
297,1,0
298,0,0
299,1,1
300,0,0
301,0,1
302,1,0
303,0,0
304,1,1
305,0,1
306,1,1
307,0,1
308,0,0
309,1,1
310,0,0
311,1,0
312,0,0
313,0,0
314,0,0
315,1,0
316,1,1
317,1,0
318,1,0
319,1,0
320,0,1
321,0,1
322,1,0
323,0,1
324,0,0
325,0,1
326,0,0
327,1,1
328,0,1
329,1,1
330,1,0
331,0,0
332,1,0
333,0,1
334,0,1
335,0,0
336,1,1
337,1,0
338,1,0
339,0,0
340,0,0
341,0,1
342,1,1
343,0,1
344,0,0
345,1,1
346,1,0
347,1,0
348,0,0
349,0,0
